Notice Title,Published Date,Notice Details

"Final Examinations, Spring 2025",3-May-2025,"This is to notify all students, faculty members and related administrative officers that the Final Examinations of Spring 2025 for all the academic programs (except Law) of Green University of Bangladesh will be held from 21st May 2025 to 30 May, 2025. 
Students are advised to download their admit cards from student portal https://studentportal.green.edu.bd/ clearing all the dues to attend the Final Examinations. A digital copy of admit card will be available online from 10th May, 2025. Students are instructed to bring a printed copy of the admit card to appear at the examinations. Without accounts clearance the admit card will not be downloadable. Students are not allowed to get entry into the examination hall without admit card and student ID card. 
Final Examinations schedule can be viewed from the students' portal."
Re-Scheduling of Classes and Office Activities of 10 May 2025,4-May-2025,"Subject: Re-Scheduling of Classes and Office Activities of 10 May 2025 
This is to inform all Faculty Members, Administrative Staff, and Students of Green University of Bangladesh (GUB) that the NAT Test for May 2025 will be held on Saturday, 10 May 2025. To ensure the smooth conduct of the NAT, the authority of the GUB has decided to reschedule all classes and office activities originally planned for 10 May (Saturday) to 08 May (Thursday). On Saturday, 10 May, the university will observe a weekly holiday for this week only. However, the Faculty Members and Administrative Staff assigned invigilation duties for the NAT Test will carry out their responsibilities as scheduled.
All academic and administrative offices will follow the same schedule as originally planned for 10 May. All are requested to take note of this change and make necessary adjustments accordingly."

Use of Authorized Parking Zones on Campus,7-May-2025,"Subject: Use of Authorized Parking Zones on Campus
It has been observed that personal and official vehicles, including motorcycles, are often parked randomly in various areas of the Green University of Bangladesh (GUB) campus. This practice not only hampers the overall campus environment but also causes inconvenience to movement and campus aesthetics.
In order to maintain discipline and ensure a clean, organized, and environment-friendly campus, all members of the GUB community (faculty, staff, students, and visitors) are hereby instructed to park their vehicles strictly in the designated and authorized parking zones.
Important Guidelines:
No vehicle or motorcycle – official or personal – shall be parked outside the marked parking areas.
The authorized parking zones have been demarcated and signposted for easy identification.
Security personnel & Student associates have been instructed to monitor compliance and report any violations.
We seek your kind cooperation in maintaining an organized and green campus environment."

Appointment of Student Associates in Transport Operations,18-May-2025,"Subject: Appointment of Student Associates in Transport Operations
This is to inform all students that 04 (four) students of the Green University of Bangladesh have been appointed as Student Associates to assist the Transport Office in overseeing and improving the university's transport services.
The primary goal of this initiative is to ensure a smooth and efficient transport service for all students while also encouraging the submission of constructive and practical suggestions from the student body. These Student Associates will serve as a link between the students and the Transport Management Authority, facilitating effective communication and collaboration.
Responsibilities of the Student Associates include:
Monitoring and supporting day-to-day transport operations
Assisting in addressing and resolving transport-related concerns
Gathering feedback and suggestions from fellow students
Collaborating with the Transport Office to enhance service delivery
Student Associates will regularly compile all constructive and well-reasoned suggestions and forward them to the appropriate authorities through the usual official channels, including the Transport Office, Transport Committee, Registrar's Office, Pro Vice Chancellor, and Vice Chancellor, for review and necessary action.
We believe this initiative will contribute significantly to the continuous improvement of GUB's transport services and encourage greater student involvement in institutional development.
For any transport-related day-to-day feedback or concerns, students are encouraged to approach the appointed Student Associates."

Extension of Date for Teachers’ Evaluation by Students,21-May-2025,"Subject: Extension of Date for Teachers' Evaluation by Students
This is to inform all Green University of Bangladesh (GUB) students that the date for Teachers' Evaluation by Students, originally scheduled for May 16 to 20, 2025, has been extended to May 23, 2025.
All concerned have been requested to take the necessary actions and to reach out to GCITS should any difficulties arise."
Payment of Final Installment and other fees for the Spring-2025 of the Department of Law,24-May-2025,"All students of the department of law, Green University of Bangladesh are requested to pay their 3rd Instalment of tuition fees and other dues (if any) for Spring Semester 2025 by 23rd June 2025.
Students can pay their tuition & other fees through any branch of Prime Bank PLC. & Bank Asia PLC and also can use Bkash & Rocket apps with Charge.
If anyone fails to clear his/her fees within 23rd June 2025 an amount of Tk. 500/- will be charged as late payment fee.
For getting admit card student shall have to clear his 3rd installment including other dues.
If you have any further query, please come to Accounts Office of GUB for more information."
